"file","from","to","line"
"src/backup/config.ts","backupConfigPath","join",24
"src/backup/config.ts","configureBackup","validateBucket",28
"src/backup/config.ts","configureBackup","backupConfigPath",29
"src/backup/config.ts","configureBackup","existsSync",30
"src/backup/config.ts","configureBackup","readBackupConfig",31
"src/backup/config.ts","configureBackup","assertCompatible",32
"src/backup/config.ts","configureBackup","randomUUID",39
"src/backup/config.ts","configureBackup","randomUUID",40
"src/backup/config.ts","configureBackup","decodeBackupConfig",43
"src/backup/config.ts","configureBackup","encodeJson",43
"src/backup/config.ts","configureBackup","writeConfig",44
"src/backup/config.ts","readBackupConfig","backupConfigPath",49
"src/backup/config.ts","readBackupConfig","existsSync",50
"src/backup/config.ts","readBackupConfig","decodeBackupConfig",55
"src/backup/config.ts","readBackupConfig","readFileSync",55
"src/backup/config.ts","writeConfig","mkdirSync",59
"src/backup/config.ts","writeConfig","dirname",59
"src/backup/config.ts","writeConfig","randomUUID",60
"src/backup/config.ts","writeConfig","writeFileSync",62
"src/backup/config.ts","writeConfig","encodeJson",62
"src/backup/config.ts","writeConfig","renameSync",63
"src/backup/config.ts","writeConfig","rmSync",65
"src/backup/contracts.ts","generationPrefix","projectPrefix",54
"src/backup/contracts.ts","databaseObjectKey","generationPrefix",61
"src/backup/contracts.ts","manifestObjectKey","generationPrefix",68
"src/backup/contracts.ts","headObjectKey","projectPrefix",72
"src/backup/contracts.ts","encodeJson","JSON.stringify",76
"src/backup/contracts.ts","decodeBackupConfig","parseObject",80
"src/backup/contracts.ts","decodeBackupConfig","assertVersion",81
"src/backup/contracts.ts","decodeBackupConfig","requiredString",84
"src/backup/contracts.ts","decodeBackupConfig","requiredUuid",85
"src/backup/contracts.ts","decodeBackupConfig","requiredUuid",86
"src/backup/contracts.ts","decodeBackupConfig","requiredDate",87
"src/backup/contracts.ts","decodeBackupManifest","parseObject",92
"src/backup/contracts.ts","decodeBackupManifest","assertVersion",93
"src/backup/contracts.ts","decodeBackupManifest","requiredObject",94
"src/backup/contracts.ts","decodeBackupManifest","requiredObject",95
"src/backup/contracts.ts","decodeBackupManifest","Array.isArray",98
"src/backup/contracts.ts","decodeBackupManifest","tables.every",99
"src/backup/contracts.ts","decodeBackupManifest","requiredUuid",105
"src/backup/contracts.ts","decodeBackupManifest","requiredGeneration",106
"src/backup/contracts.ts","decodeBackupManifest","optionalGeneration",107
"src/backup/contracts.ts","decodeBackupManifest","requiredDate",108
"src/backup/contracts.ts","decodeBackupManifest","requiredUuid",109
"src/backup/contracts.ts","decodeBackupManifest","requiredString",111
"src/backup/contracts.ts","decodeBackupManifest","requiredSha256Algorithm",112
"src/backup/contracts.ts","decodeBackupManifest","requiredDigest",113
"src/backup/contracts.ts","decodeBackupManifest","requiredNonnegativeInteger",114
"src/backup/contracts.ts","decodeBackupManifest","requiredString",117
"src/backup/contracts.ts","decodeBackupManifest","optionalNonnegativeInteger",118
"src/backup/contracts.ts","decodeBackupManifest","optionalString",122
"src/backup/contracts.ts","decodeBackupHead","parseObject",129
"src/backup/contracts.ts","decodeBackupHead","assertVersion",130
"src/backup/contracts.ts","decodeBackupHead","requiredUuid",133
"src/backup/contracts.ts","decodeBackupHead","requiredGeneration",134
"src/backup/contracts.ts","decodeBackupHead","requiredString",135
"src/backup/contracts.ts","decodeBackupHead","requiredUuid",136
"src/backup/contracts.ts","decodeBackupHead","requiredDate",137
"src/backup/contracts.ts","bytesDigest","createHash",142
"src/backup/contracts.ts","parseObject","JSON.parse",151
"src/backup/contracts.ts","parseObject","String",153
"src/backup/contracts.ts","parseObject","isObject",156
"src/backup/contracts.ts","assertVersion","String",163
"src/backup/contracts.ts","requiredObject","isObject",173
"src/backup/contracts.ts","optionalString","requiredString",191
"src/backup/contracts.ts","requiredUuid","requiredString",195
"src/backup/contracts.ts","requiredUuid","field.toLowerCase",203
"src/backup/contracts.ts","requiredGeneration","requiredString",210
"src/backup/contracts.ts","optionalGeneration","requiredGeneration",222
"src/backup/contracts.ts","requiredDate","requiredString",226
"src/backup/contracts.ts","requiredDate","Number.isFinite",227
"src/backup/contracts.ts","requiredDate","Date.parse",227
"src/backup/contracts.ts","requiredDigest","requiredString",233
"src/backup/contracts.ts","requiredNonnegativeInteger","Number.isSafeInteger",243
"src/backup/contracts.ts","optionalNonnegativeInteger","requiredNonnegativeInteger",254
"src/backup/contracts.ts","isObject","Array.isArray",265
"src/backup/database-metadata.ts","inspectSnapshotMetadata","withSnapshotFile",23
"src/backup/database-metadata.ts","inspectSnapshotMetadata","readDatabaseSnapshot",24
"src/backup/database-metadata.ts","inspectSnapshotMetadata","assertRequiredTables",44
"src/backup/database-metadata.ts","inspectSnapshotMetadata","readApplicationVersion",46
"src/backup/database-metadata.ts","inspectSnapshotMetadata","sqlite.close",52
"src/backup/database-metadata.ts","withSnapshotFile","mkdtempSync",83
"src/backup/database-metadata.ts","withSnapshotFile","join",83
"src/backup/database-metadata.ts","withSnapshotFile","tmpdir",83
"src/backup/database-metadata.ts","withSnapshotFile","chmodSync",84
"src/backup/database-metadata.ts","withSnapshotFile","join",85
