file,line,function,kind,condition,paths
"src/backup/config.ts","30","configureBackup","if","existsSync(path)","true | fallthrough"
"src/backup/config.ts","39","configureBackup","short-circuit","input.projectId ?? randomUUID()","left determines | evaluate right"
"src/backup/config.ts","40","configureBackup","short-circuit","input.writerId ?? randomUUID()","left determines | evaluate right"
"src/backup/config.ts","41","configureBackup","short-circuit","input.now ?? new Date()","left determines | evaluate right"
"src/backup/config.ts","50","readBackupConfig","if","!existsSync(path)","true | fallthrough"
"src/backup/config.ts","70","validateBucket","if","!/^[a-z0-9][a-z0-9-]{1,61}[a-z0-9]$/.test(bucket)","true | fallthrough"
"src/backup/config.ts","79","assertCompatible","if","existing.bucket !== input.bucket","true | fallthrough"
"src/backup/config.ts","84","assertCompatible","if","input.projectId && existing.projectId !== input.projectId.toLowerCase()","true | fallthrough"
"src/backup/config.ts","84","assertCompatible","short-circuit","input.projectId && existing.projectId !== input.projectId.toLowerCase()","left determines | evaluate right"
"src/backup/config.ts","87","assertCompatible","if","input.writerId && existing.writerId !== input.writerId.toLowerCase()","true | fallthrough"
"src/backup/config.ts","87","assertCompatible","short-circuit","input.writerId && existing.writerId !== input.writerId.toLowerCase()","left determines | evaluate right"
"src/backup/contracts.ts","97","decodeBackupManifest","if","!Array.isArray(tables) || !tables.every((item) => typeof item === 'string')","true | fallthrough"
"src/backup/contracts.ts","98","decodeBackupManifest","short-circuit","!Array.isArray(tables) || !tables.every((item) => typeof item === 'string')","left determines | evaluate right"
"src/backup/contracts.ts","152","parseObject","catch","cause","success | failure"
"src/backup/contracts.ts","153","parseObject","ternary","cause instanceof Error","true | false"
"src/backup/contracts.ts","156","parseObject","if","!isObject(value)","true | fallthrough"
"src/backup/contracts.ts","161","assertVersion","if","value.formatVersion !== BACKUP_FORMAT_VERSION","true | fallthrough"
"src/backup/contracts.ts","173","requiredObject","if","!isObject(field)","true | fallthrough"
"src/backup/contracts.ts","179","requiredString","if","typeof field !== 'string' || field.length === 0","true | fallthrough"
"src/backup/contracts.ts","179","requiredString","short-circuit","typeof field !== 'string' || field.length === 0","left determines | evaluate right"
"src/backup/contracts.ts","190","optionalString","if","field === null","true | fallthrough"
"src/backup/contracts.ts","196","requiredUuid","if","!/^[0-9a-f]{8}-[0-9a-f]{4}-[1-8][0-9a-f]{3}-[89ab][0-9a-f]{3}-[0-9a-f]{12}$/i.test( field, )","true | fallthrough"
"src/backup/contracts.ts","211","requiredGeneration","if","!/^\d{8}T\d{9}Z-[0-9a-f-]{36}$/.test(field)","true | fallthrough"
"src/backup/contracts.ts","221","optionalGeneration","if","value[key] === null","true | fallthrough"
"src/backup/contracts.ts","227","requiredDate","if","!Number.isFinite(Date.parse(field))","true | fallthrough"
"src/backup/contracts.ts","234","requiredDigest","if","!/^[0-9a-f]{64}$/.test(field)","true | fallthrough"
"src/backup/contracts.ts","243","requiredNonnegativeInteger","if","!Number.isSafeInteger(field) || typeof field !== 'number' || field < 0","true | fallthrough"
"src/backup/contracts.ts","243","requiredNonnegativeInteger","short-circuit","!Number.isSafeInteger(field) || typeof field !== 'number' || field < 0","left determines | evaluate right"
"src/backup/contracts.ts","243","requiredNonnegativeInteger","short-circuit","!Number.isSafeInteger(field) || typeof field !== 'number'","left determines | evaluate right"
