"file","name","kind","exported","start","end","lines","parameters","returnType","decisions","throws","catches","loops"
"src/backup/config.ts","backupConfigPath","function",true,23,25,3,"workspaceRoot: string","string",0,0,0,0
"src/backup/config.ts","configureBackup","function",true,27,46,20,"input: ConfigureBackupInput","BackupConfig",4,0,0,0
"src/backup/config.ts","readBackupConfig","function",true,48,56,9,"workspaceRoot: string","BackupConfig",1,1,0,0
"src/backup/config.ts","writeConfig","function",false,58,67,10,"path: string; config: BackupConfig","void",0,0,0,0
"src/backup/config.ts","validateBucket","function",false,69,73,5,"bucket: string","void",1,1,0,0
"src/backup/config.ts","assertCompatible","function",false,75,90,16,"existing: BackupConfig; input: ConfigureBackupInput","void",5,3,0,0
"src/backup/contracts.ts","projectPrefix","function",true,46,48,3,"projectId: string","string",0,0,0,0
"src/backup/contracts.ts","generationPrefix","function",true,50,55,6,"projectId: string; generation: string","string",0,0,0,0
"src/backup/contracts.ts","databaseObjectKey","function",true,57,62,6,"projectId: string; generation: string","string",0,0,0,0
"src/backup/contracts.ts","manifestObjectKey","function",true,64,69,6,"projectId: string; generation: string","string",0,0,0,0
"src/backup/contracts.ts","headObjectKey","function",true,71,73,3,"projectId: string","string",0,0,0,0
"src/backup/contracts.ts","encodeJson","function",true,75,77,3,"value: unknown","Uint8Array",0,0,0,0
"src/backup/contracts.ts","decodeBackupConfig","function",true,79,89,11,"bytes: Uint8Array","BackupConfig",0,0,0,0
"src/backup/contracts.ts","decodeBackupManifest","function",true,91,126,36,"bytes: Uint8Array","BackupManifest",2,1,0,0
"src/backup/contracts.ts","decodeBackupHead","function",true,128,139,12,"bytes: Uint8Array","BackupHead",0,0,0,0
"src/backup/contracts.ts","bytesDigest","function",true,141,143,3,"bytes: Uint8Array","string",0,0,0,0
"src/backup/contracts.ts","parseObject","function",false,145,158,14,"bytes: Uint8Array; label: string","Record<string, unknown>",2,2,1,0
"src/backup/contracts.ts","assertVersion","function",false,160,166,7,"value: Record<string, unknown>","void",1,1,0,0
"src/backup/contracts.ts","requiredObject","function",false,168,175,8,"value: Record<string, unknown>; key: string","Record<string, unknown>",1,1,0,0
"src/backup/contracts.ts","requiredString","function",false,177,183,7,"value: Record<string, unknown>; key: string","string",2,1,0,0
"src/backup/contracts.ts","optionalString","function",false,185,192,8,"value: Record<string, unknown>; key: string","string | null",1,0,0,0
"src/backup/contracts.ts","requiredUuid","function",false,194,204,11,"value: Record<string, unknown>; key: string","string",1,1,0,0
"src/backup/contracts.ts","requiredGeneration","function",false,206,215,10,"value: Record<string, unknown>; key: string","string",1,1,0,0
"src/backup/contracts.ts","optionalGeneration","function",false,217,223,7,"value: Record<string, unknown>; key: string","string | null",1,0,0,0
"src/backup/contracts.ts","requiredDate","function",false,225,230,6,"value: Record<string, unknown>; key: string","string",1,1,0,0
"src/backup/contracts.ts","requiredDigest","function",false,232,236,5,"value: Record<string, unknown>; key: string","string",1,1,0,0
"src/backup/contracts.ts","requiredNonnegativeInteger","function",false,238,247,10,"value: Record<string, unknown>; key: string","number",3,1,0,0
"src/backup/contracts.ts","optionalNonnegativeInteger","function",false,249,255,7,"value: Record<string, unknown>; key: string","number | null",1,0,0,0
"src/backup/contracts.ts","requiredSha256Algorithm","function",false,257,262,6,"value: Record<string, unknown>","'sha256'",1,1,0,0
"src/backup/contracts.ts","isObject","function",false,264,266,3,"value: unknown","value is Record<string, unknown>",2,0,0,0
"src/backup/database-metadata.ts","inspectSnapshotMetadata","function",true,20,55,36,"bytes: Uint8Array","BackupDatabaseMetadata",2,0,0,0
"src/backup/database-metadata.ts","assertSnapshotMetadata","function",true,57,77,21,"expected: BackupDatabaseMetadata; actual: BackupDatabaseMetadata","void",4,3,0,0
"src/backup/database-metadata.ts","withSnapshotFile","function",false,79,92,14,"bytes: Uint8Array; operation: (path: string) => T","T",0,0,0,0
"src/backup/database-metadata.ts","assertRequiredTables","function",false,94,101,8,"tables: readonly string[]","void",1,1,0,0
"src/backup/database-metadata.ts","readApplicationVersion","function",false,103,115,13,"","string",4,1,0,0
"src/backup/object-store.ts","get","method",false,37,53,17,"key: string","Uint8Array | null",2,1,0,0
"src/backup/object-store.ts","put","method",false,55,72,18,"key: string; content: Uint8Array; contentType: string","void",1,1,0,0
"src/backup/object-store.ts","#run","method",false,74,88,15,"args: string[]","CommandResult",3,1,0,0
"src/backup/object-store.ts","putImmutable","function",true,91,110,20,"store: BackupObjectStore; key: string; content: Uint8Array; contentType: string","void",4,2,0,0
"src/backup/object-store.ts","withPrivateTempDirectory","function",false,118,126,9,"operation: (path: string) => T","T",0,0,0,0
"src/backup/object-store.ts","isMissingObject","function",false,128,130,3,"stderr: string","boolean",0,0,0,0
"src/backup/object-store.ts","commandFailure","function",false,132,139,8,"operation: string; key: string; result: CommandResult","Error",2,0,0,0
"src/backup/service.ts","createBackup","function",true,38,64,27,"workspaceRoot: string; store: BackupObjectStore; now: Date = new Date()","BackupResult",0,0,0,0
"src/backup/service.ts","listBackups","function",true,66,90,25,"workspaceRoot: string; store: BackupObjectStore; limit = 100","BackupManifest[]",6,2,0,1
"src/backup/service.ts","restoreBackup","function",true,92,124,33,"workspaceRoot: string; store: BackupObjectStore; options: { generation?: string; outputPath?: string } = {}","RestoreResult",3,1,0,0
"src/backup/service.ts","createManifest","function",false,126,146,21,"config: BackupConfig; snapshot: DatabaseSnapshot; generation: string; head: BackupHead | null; now: Date","BackupManifest",1,0,0,0
"src/backup/service.ts","readHead","function",false,148,168,21,"store: BackupObjectStore; config: BackupConfig","BackupHead | null",4,3,0,0
"src/backup/service.ts","requireHead","function",false,170,177,8,"store: BackupObjectStore; config: BackupConfig","BackupHead",1,1,0,0
"src/backup/service.ts","readManifest","function",false,179,203,25,"store: BackupObjectStore; config: BackupConfig; generation: string","BackupManifest",5,4,0,0
"src/backup/service.ts","assertHeadUnchanged","function",false,205,216,12,"store: BackupObjectStore; config: BackupConfig; initial: BackupHead | null","void",1,1,0,0
"src/backup/service.ts","publishHead","function",false,218,240,23,"store: BackupObjectStore; config: BackupConfig; manifest: BackupManifest; manifestKey: string; now: Date","void",2,1,0,0
"src/backup/service.ts","validateDatabaseBytes","function",false,242,254,13,"manifest: BackupManifest; bytes: Uint8Array","void",2,1,0,0
"src/backup/service.ts","createGeneration","function",false,256,259,4,"now: Date","string",0,0,0,0
"src/backup/service.ts","validateGenerationInput","function",false,261,265,5,"generation: string","void",1,1,0,0
"src/backup/service.ts","resultFromManifest","function",false,267,274,8,"manifest: BackupManifest","BackupResult",0,0,0,0
"src/cli.ts","main","function",true,24,43,20,"options: MainOptions = {}","Promise<void>",3,1,1,0
"src/cli.ts","createProgram","function",false,45,73,29,"","Command",0,0,0,0
"src/cli.ts","addInitCommand","function",false,75,105,31,"program: Command","void",1,0,0,0
"src/cli.ts","registerWorkspaceHooks","function",false,107,148,42,"program: Command","void",5,0,0,1
"src/cli.ts","parseProgram","function",false,150,157,8,"program: Command","Promise<void>",1,0,0,0
"src/cli.ts","isMemoryCommand","function",false,159,168,10,"command: Command","boolean",2,0,0,1
"src/cli/commands/backup.ts","createBackupCommand","function",true,8,20,13,"","Command",0,0,0,0
"src/cli/commands/backup.ts","addConfigureCommand","function",false,22,43,22,"command: Command","void",0,0,0,0
"src/cli/commands/backup.ts","addCreateCommand","function",false,45,65,21,"command: Command","void",0,0,0,0
"src/cli/commands/backup.ts","addListCommand","function",false,67,94,28,"command: Command","void",1,0,0,1
"src/cli/commands/backup.ts","addRestoreCommand","function",false,96,124,29,"command: Command","void",0,0,0,0
"src/cli/commands/backup.ts","createStore","function",false,126,132,7,"workspaceRoot: string; executable?: string","WranglerR2ObjectStore",0,0,0,0
"src/cli/commands/backup.ts","parseLimit","function",false,134,140,7,"value: string","number",3,1,0,0
"src/cli/commands/memory/recall-basic-handlers.ts","handleRecallStatus","function",true,11,25,15,"command: Command","Promise<void>",0,0,0,0
"src/cli/commands/memory/recall-basic-handlers.ts","handleRecallImport","function",true,27,56,30,"options: RecallImportOptions; command: Command","Promise<void>",3,0,0,0
"src/cli/commands/memory/recall-basic-handlers.ts","parseDate","function",false,58,63,6,"value: string","Date",1,1,0,0
"src/cli/io.ts","getGlobalOptions","function",true,32,60,29,"command: Command","GlobalCliOptions",7,0,0,1
"src/cli/io.ts","readInput","function",true,62,87,26,"value?: string","Promise<string | undefined>",6,3,0,0
"src/cli/io.ts","readJsonInput","function",true,89,100,12,"value?: string","Promise<T | undefined>",2,1,1,0
"src/cli/io.ts","parseIdList","function",true,102,109,8,"value?: string | string[]","string[] | undefined",3,0,0,0
"src/cli/io.ts","runCommand","function",true,111,147,37,"command: Command; executor: () => Promise<T>; render: (data: T) => void","Promise<void>",3,0,1,0
"src/cli/io.ts","runMemoryCommand","function",true,149,176,28,"command: Command; effect: Effect.Effect<T, E, MemoryRuntime>; render: (data: T) => void","Promise<void>",1,1,0,0
"src/cli/io.ts","formatError","function",false,178,200,23,"error: unknown","JsonError['error']",8,0,0,0
"src/cli/io.ts","readStdin","function",false,202,212,11,"","Promise<string>",0,0,0,0
"src/db/client.ts","createClient","function",true,21,27,7,"dbPath: string","DbHandle",0,0,0,0
"src/db/client.ts","getDbClientByPath","function",true,29,43,15,"dbPath: string; options: { migrate?: boolean } = {}","DbHandle",3,0,0,0
"src/db/client.ts","getDbClient","function",true,45,52,8,"directory: string; options: { migrate?: boolean } = {}","Promise<DbHandle>",0,0,0,0
"src/db/migrate.ts","migrationsFolder","function",false,7,9,3,"","string",0,0,0,0
"src/db/migrate.ts","runMigrations","function",true,11,13,3,"sqlite: Database","void",0,0,0,0
"src/db/migrate.ts","migrateDbSync","function",true,15,23,9,"dbPath: string","void",0,0,0,0
"src/db/migrate.ts","migrateDb","function",true,25,27,3,"dbPath: string","Promise<void>",0,0,0,0
"src/db/migrate.ts","applyMigrations","function",false,29,76,48,"sqlite: Database","void",5,1,1,2
"src/db/migrate.ts","isMigrationStateCurrent","function",false,78,91,14,"sqlite: Database; latestMigrationMillis: number","boolean",2,0,0,0
"src/db/migrate.ts","hasMigrationsTable","function",false,93,100,8,"sqlite: Database","boolean",0,0,0,0
"src/db/migrate.ts","ensureMigrationsTable","function",false,102,110,9,"sqlite: Database","void",0,0,0,0
"src/db/migrate.ts","readLastAppliedMigrationMillis","function",false,112,119,8,"sqlite: Database","number | null",1,0,0,0
"src/db/migrate.ts","readArg","function",false,121,125,5,"name: string; args: string[]","string | null",2,0,0,0
"src/db/migrate.ts","main","function",false,127,132,6,"","Promise<void>",1,0,0,0
"src/db/paths.ts","continuumDir","function",true,15,17,3,"directory: string","string",0,0,0,0
"src/db/paths.ts","legacyDbFilePath","function",true,19,21,3,"directory: string","string",0,0,0,0
"src/db/paths.ts","canonicalDataHome","function",true,23,27,5,"options: CanonicalPathOptions = {}","string",3,0,0,0
"src/db/paths.ts","normalizedWorkspacePath","function",true,29,36,8,"directory: string","string",0,0,1,0
"src/db/paths.ts","projectStorageId","function",true,38,42,5,"directory: string","string",0,0,0,0
"src/db/paths.ts","canonicalProjectDir","function",true,44,54,11,"directory: string; options: CanonicalPathOptions = {}","string",0,0,0,0
"src/db/paths.ts","canonicalDbFilePath","function",true,56,61,6,"directory: string; options: CanonicalPathOptions = {}","string",0,0,0,0
